condition,proxy_profile,split,task_category,strict_score,proxy_admission_rate,proxy_mean_item_score,proxy_admitted_count,strict_confirmed_count,challenge_failure_count,disagreement_count,valid_json_count,audited_precision,audit_file,experiment_tag
baseline_1b_v3,baseline_proxy_v3,evaluation,relation,0.0,0.0,0.0,0,0,0,0,0,,results/v3/audits/audit__baseline_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,drifted_proxy_v4,evaluation,arithmetic,0.0,0.4286,0.4429,3,0,3,3,4,0.0,results/v3/audits/audit__baseline_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,drifted_proxy_v4,evaluation,extraction,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__baseline_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,drifted_proxy_v4,evaluation,relation,0.0,0.0,0.0,0,0,0,0,0,,results/v3/audits/audit__baseline_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,baseline_proxy_v3,evaluation,arithmetic,0.0,0.0,0.7,0,0,0,0,7,,results/v3/audits/audit__proxy_gaming_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,baseline_proxy_v3,evaluation,extraction,0.2857,0.8571,0.9143,6,2,4,4,7,0.3333,results/v3/audits/audit__proxy_gaming_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,baseline_proxy_v3,evaluation,relation,0.0,1.0,0.9714,7,0,7,7,7,0.0,results/v3/audits/audit__proxy_gaming_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,drifted_proxy_v4,evaluation,arithmetic,0.0,0.8571,0.7857,6,0,6,6,7,0.0,results/v3/audits/audit__proxy_gaming_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,drifted_proxy_v4,evaluation,extraction,0.2857,1.0,0.9429,7,2,5,5,7,0.2857,results/v3/audits/audit__proxy_gaming_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,drifted_proxy_v4,evaluation,relation,0.0,1.0,1.0,7,0,7,7,7,0.0,results/v3/audits/audit__proxy_gaming_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,baseline_proxy_v3,evaluation,arithmetic,0.1429,0.4286,0.5143,3,1,2,2,7,0.3333,results/v3/audits/audit__real_model_change_4b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,baseline_proxy_v3,evaluation,extraction,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__real_model_change_4b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,baseline_proxy_v3,evaluation,relation,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__real_model_change_4b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,drifted_proxy_v4,evaluation,arithmetic,0.1429,0.4286,0.5286,3,1,2,2,7,0.3333,results/v3/audits/audit__real_model_change_4b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,drifted_proxy_v4,evaluation,extraction,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__real_model_change_4b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,drifted_proxy_v4,evaluation,relation,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__real_model_change_4b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
ruler_drift_only_v3,drifted_proxy_v4,evaluation,arithmetic,0.0,0.4286,0.4429,3,0,3,3,4,0.0,results/v3/audits/audit__ruler_drift_only_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
ruler_drift_only_v3,drifted_proxy_v4,evaluation,extraction,0.8571,1.0,1.0,7,6,1,1,7,0.8571,results/v3/audits/audit__ruler_drift_only_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
ruler_drift_only_v3,drifted_proxy_v4,evaluation,relation,0.0,0.0,0.0,0,0,0,0,0,,results/v3/audits/audit__ruler_drift_only_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
